student_id,name,attendance,total_classes,section,branch,semester,subject,week,attendance_percentage,phone_number
STU001,Vikram Rao,4,4,A,ECE,3,Maths,Week 1,100.0,7790779946
STU001,Vikram Rao,3,4,A,ECE,3,Maths,Week 2,75.0,7790779946
STU001,Vikram Rao,4,4,A,ECE,3,Maths,Week 3,100.0,7790779946
STU001,Vikram Rao,4,4,A,ECE,3,Maths,Week 4,100.0,7790779946
STU001,Vikram Rao,3,4,A,ECE,3,Maths,Week 5,75.0,7790779946
STU001,Vikram Rao,4,5,A,ECE,3,Maths,Week 6,80.0,7790779946
STU001,Vikram Rao,2,4,A,ECE,3,Maths,Week 7,50.0,7790779946
STU001,Vikram Rao,4,4,A,ECE,3,Maths,Week 8,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Python,Week 1,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Python,Week 2,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Python,Week 3,100.0,7790779946
STU001,Vikram Rao,3,4,A,ECE,3,Python,Week 4,75.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Python,Week 5,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Python,Week 6,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Python,Week 7,100.0,7790779946
STU001,Vikram Rao,4,4,A,ECE,3,Python,Week 8,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,AI,Week 1,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,AI,Week 2,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,AI,Week 3,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,AI,Week 4,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,AI,Week 5,100.0,7790779946
STU001,Vikram Rao,3,4,A,ECE,3,AI,Week 6,75.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,AI,Week 7,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,AI,Week 8,100.0,7790779946
STU001,Vikram Rao,5,5,A,ECE,3,DSA,Week 1,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,DSA,Week 2,100.0,7790779946
STU001,Vikram Rao,4,4,A,ECE,3,DSA,Week 3,100.0,7790779946
STU001,Vikram Rao,5,5,A,ECE,3,DSA,Week 4,100.0,7790779946
STU001,Vikram Rao,5,5,A,ECE,3,DSA,Week 5,100.0,7790779946
STU001,Vikram Rao,3,4,A,ECE,3,DSA,Week 6,75.0,7790779946
STU001,Vikram Rao,3,4,A,ECE,3,DSA,Week 7,75.0,7790779946
STU001,Vikram Rao,5,5,A,ECE,3,DSA,Week 8,100.0,7790779946
STU001,Vikram Rao,1,1,A,ECE,3,Code Lab,Week 1,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Code Lab,Week 2,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Code Lab,Week 3,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Code Lab,Week 4,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Code Lab,Week 5,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Code Lab,Week 6,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Code Lab,Week 7,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Code Lab,Week 8,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Communication Skills,Week 1,100.0,7790779946
STU001,Vikram Rao,1,1,A,ECE,3,Communication Skills,Week 2,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Communication Skills,Week 3,100.0,7790779946
STU001,Vikram Rao,1,2,A,ECE,3,Communication Skills,Week 4,50.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Communication Skills,Week 5,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Communication Skills,Week 6,100.0,7790779946
STU001,Vikram Rao,3,3,A,ECE,3,Communication Skills,Week 7,100.0,7790779946
STU001,Vikram Rao,2,2,A,ECE,3,Communication Skills,Week 8,100.0,7790779946
STU002,Simran Verma,4,4,B,MECH,3,Maths,Week 1,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,Maths,Week 2,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,Maths,Week 3,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,Maths,Week 4,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,Maths,Week 5,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,Maths,Week 6,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,Maths,Week 7,100.0,6100604502
STU002,Simran Verma,3,4,B,MECH,3,Maths,Week 8,75.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,Python,Week 1,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,Python,Week 2,100.0,6100604502
STU002,Simran Verma,2,2,B,MECH,3,Python,Week 3,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,Python,Week 4,100.0,6100604502
STU002,Simran Verma,2,3,B,MECH,3,Python,Week 5,66.67,6100604502
STU002,Simran Verma,2,2,B,MECH,3,Python,Week 6,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,Python,Week 7,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,Python,Week 8,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,AI,Week 1,100.0,6100604502
STU002,Simran Verma,2,2,B,MECH,3,AI,Week 2,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,AI,Week 3,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,AI,Week 4,100.0,6100604502
STU002,Simran Verma,3,3,B,MECH,3,AI,Week 5,100.0,6100604502
STU002,Simran Verma,3,4,B,MECH,3,AI,Week 6,75.0,6100604502
STU002,Simran Verma,2,2,B,MECH,3,AI,Week 7,100.0,6100604502
STU002,Simran Verma,1,3,B,MECH,3,AI,Week 8,33.33,6100604502
STU002,Simran Verma,4,4,B,MECH,3,DSA,Week 1,100.0,6100604502
STU002,Simran Verma,4,4,B,MECH,3,DSA,Week 2,100.0,6100604502
